step	post	like	prior	mu1	mu2	gamma	pi	Tinf_1	Tinf_2	Tinf_3	Tinf_4	Tinf_5	Tinf_6	Tinf_7	Tinf_8	Tinf_9	Tinf_10	Tinf_11	Tinf_12	Tinf_13	Tinf_14	Tinf_15	Tinf_16	Tinf_17	Tinf_18	Tinf_19	Tinf_20	Tinf_21	Tinf_22	Tinf_23	Tinf_24	Tinf_25	Tinf_26	Tinf_27	Tinf_28	Tinf_29	Tinf_30	Tinf_31	Tinf_32	Tinf_33	Tinf_34	Tinf_35	Tinf_36	Tinf_37	Tinf_38	Tinf_39	Tinf_40	Tinf_41	Tinf_42	Tinf_43	Tinf_44	Tinf_45	Tinf_46	Tinf_47	Tinf_48	Tinf_49	Tinf_50	Tinf_51	Tinf_52	Tinf_53	Tinf_54	Tinf_55	Tinf_56	Tinf_57	Tinf_58	Tinf_59	Tinf_60	Tinf_61	Tinf_62	Tinf_63	Tinf_64	Tinf_65	Tinf_66	Tinf_67	Tinf_68	Tinf_69	Tinf_70	Tinf_71	Tinf_72	Tinf_73	Tinf_74	Tinf_75	Tinf_76	Tinf_77	Tinf_78	Tinf_79	Tinf_80	Tinf_81	Tinf_82	Tinf_83	Tinf_84	Tinf_85	Tinf_86	Tinf_87	Tinf_88	Tinf_89	Tinf_90	Tinf_91	Tinf_92	Tinf_93	Tinf_94	Tinf_95	Tinf_96	Tinf_97	Tinf_98	Tinf_99	Tinf_100	Tinf_101	Tinf_102	Tinf_103	Tinf_104	Tinf_105	Tinf_106	Tinf_107	Tinf_108	Tinf_109	Tinf_110	Tinf_111	Tinf_112	Tinf_113	Tinf_114	Tinf_115	Tinf_116	alpha_1	alpha_2	alpha_3	alpha_4	alpha_5	alpha_6	alpha_7	alpha_8	alpha_9	alpha_10	alpha_11	alpha_12	alpha_13	alpha_14	alpha_15	alpha_16	alpha_17	alpha_18	alpha_19	alpha_20	alpha_21	alpha_22	alpha_23	alpha_24	alpha_25	alpha_26	alpha_27	alpha_28	alpha_29	alpha_30	alpha_31	alpha_32	alpha_33	alpha_34	alpha_35	alpha_36	alpha_37	alpha_38	alpha_39	alpha_40	alpha_41	alpha_42	alpha_43	alpha_44	alpha_45	alpha_46	alpha_47	alpha_48	alpha_49	alpha_50	alpha_51	alpha_52	alpha_53	alpha_54	alpha_55	alpha_56	alpha_57	alpha_58	alpha_59	alpha_60	alpha_61	alpha_62	alpha_63	alpha_64	alpha_65	alpha_66	alpha_67	alpha_68	alpha_69	alpha_70	alpha_71	alpha_72	alpha_73	alpha_74	alpha_75	alpha_76	alpha_77	alpha_78	alpha_79	alpha_80	alpha_81	alpha_82	alpha_83	alpha_84	alpha_85	alpha_86	alpha_87	alpha_88	alpha_89	alpha_90	alpha_91	alpha_92	alpha_93	alpha_94	alpha_95	alpha_96	alpha_97	alpha_98	alpha_99	alpha_100	alpha_101	alpha_102	alpha_103	alpha_104	alpha_105	alpha_106	alpha_107	alpha_108	alpha_109	alpha_110	alpha_111	alpha_112	alpha_113	alpha_114	alpha_115	alpha_116	kappa_1	kappa_2	kappa_3	kappa_4	kappa_5	kappa_6	kappa_7	kappa_8	kappa_9	kappa_10	kappa_11	kappa_12	kappa_13	kappa_14	kappa_15	kappa_16	kappa_17	kappa_18	kappa_19	kappa_20	kappa_21	kappa_22	kappa_23	kappa_24	kappa_25	kappa_26	kappa_27	kappa_28	kappa_29	kappa_30	kappa_31	kappa_32	kappa_33	kappa_34	kappa_35	kappa_36	kappa_37	kappa_38	kappa_39	kappa_40	kappa_41	kappa_42	kappa_43	kappa_44	kappa_45	kappa_46	kappa_47	kappa_48	kappa_49	kappa_50	kappa_51	kappa_52	kappa_53	kappa_54	kappa_55	kappa_56	kappa_57	kappa_58	kappa_59	kappa_60	kappa_61	kappa_62	kappa_63	kappa_64	kappa_65	kappa_66	kappa_67	kappa_68	kappa_69	kappa_70	kappa_71	kappa_72	kappa_73	kappa_74	kappa_75	kappa_76	kappa_77	kappa_78	kappa_79	kappa_80	kappa_81	kappa_82	kappa_83	kappa_84	kappa_85	kappa_86	kappa_87	kappa_88	kappa_89	kappa_90	kappa_91	kappa_92	kappa_93	kappa_94	kappa_95	kappa_96	kappa_97	kappa_98	kappa_99	kappa_100	kappa_101	kappa_102	kappa_103	kappa_104	kappa_105	kappa_106	kappa_107	kappa_108	kappa_109	kappa_110	kappa_111	kappa_112	kappa_113	kappa_114	kappa_115	kappa_116
76000	-726.839345800852357	-732.778543019937615	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.709071833166935	-1	1	1	2	3	2	2	4	4	3	3	4	4	4	5	4	6	5	7	5	5	6	7	6	6	6	5	7	7	7	7	6	7	7	7	7	8	9	8	8	9	8	9	9	10	8	8	8	10	12	10	13	9	10	11	10	12	11	12	11	10	11	9	10	10	12	12	12	12	13	12	12	13	13	12	13	14	12	14	13	13	14	14	15	14	15	16	16	15	17	18	17	18	18	18	17	16	19	18	19	21	20	20	22	20	22	20	20	24	21	22	23	25	23	22	25	0	1	1	3	1	2	3	3	3	4	2	3	10	10	8	7	3	13	27	12	12	10	8	14	7	18	11	20	15	15	22	27	12	26	20	22	23	24	25	27	31	31	29	30	31	32	27	23	35	37	24	38	25	41	56	42	45	47	36	41	42	42	31	32	48	49	48	55	40	59	61	45	61	63	65	67	58	61	72	60	60	71	72	79	78	79	82	83	45	83	92	73	85	86	87	89	85	91	85	94	95	95	85	98	93	95	100	98	96	98	100	95	107	107	103	114	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	3	1	2	1	1	1	1	2	2	2	1	2	1	2	2	2	1	1	1	1	2	2	1	2	2	1	2	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	2	1	1	2	3	2	1	3	1	1	3	1	2	2	3	2	1	1
76500	-675.614433762168574	-681.553630981253832	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.748030624349918	-2	1	0	2	1	2	2	4	4	4	3	5	5	4	4	4	7	6	5	5	7	5	7	8	6	5	6	7	6	6	6	6	7	7	7	7	8	7	8	7	9	8	8	9	9	9	8	9	10	12	9	11	10	11	11	9	11	10	11	11	11	11	10	9	10	12	11	12	11	13	10	12	13	14	14	13	13	13	13	13	13	14	14	15	15	16	16	16	16	17	18	16	17	18	18	19	18	17	17	18	21	19	20	22	21	22	21	19	23	21	21	23	26	23	22	24	0	1	1	3	1	2	3	7	7	4	2	8	10	4	4	7	8	26	11	3	12	10	14	14	16	10	19	20	15	4	15	19	12	26	20	22	23	14	16	27	31	31	29	30	31	32	32	37	35	23	38	51	39	41	42	42	45	47	36	41	42	42	45	47	48	49	48	62	47	59	42	63	61	63	65	67	69	71	72	60	60	62	72	79	78	79	82	83	74	83	92	73	85	86	87	89	85	92	85	86	95	95	98	110	99	95	100	98	96	103	100	101	107	107	103	114	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	2	1	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	2	1	2	3	1	1	2	1	1	1	3	2	1	1
77000	-724.195562231187296	-730.134759450272554	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.727996301312572	-1	1	1	2	3	3	3	5	3	3	3	3	4	4	5	5	6	5	5	5	7	6	6	7	6	7	7	7	6	7	7	6	9	7	6	7	9	8	7	8	8	9	10	9	10	9	8	8	9	11	9	12	11	10	11	11	11	10	10	11	11	12	10	11	8	13	10	13	11	12	12	12	13	14	13	12	12	12	14	13	14	15	14	16	14	16	16	17	16	17	18	16	18	17	17	19	17	18	17	20	20	19	19	22	21	22	22	20	22	21	22	22	25	24	23	25	0	1	1	3	3	1	3	12	3	4	2	3	10	10	10	7	8	10	11	7	12	10	14	14	16	18	19	20	15	14	15	19	12	18	20	10	23	24	25	27	31	31	29	30	31	32	32	23	35	37	38	38	16	41	42	42	31	46	36	41	42	42	31	58	23	49	48	55	58	59	42	63	61	57	65	67	69	42	72	41	80	71	72	79	78	79	71	83	74	83	92	62	99	86	82	89	85	85	85	94	95	95	91	97	99	102	100	91	96	103	100	95	107	107	110	114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	1	1	1	2	1	2	2	1	1	2	1	1	2	2	1	1	1	2	1	1	2	2	2	1	1	1	2	1	1	1	1	1	1	1	3	2	1	1	1	1	2	1	1	1	1	2	1	2	2	1	2	2	1	1	1	1	1	2	3	2	2	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1
77500	-686.582105247469713	-692.521302466554971	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.788253102594707	-1	0	1	2	3	3	2	3	4	4	4	5	5	3	4	4	7	5	6	6	7	7	7	7	6	7	6	7	8	7	6	7	8	6	8	7	8	9	8	8	7	8	10	8	9	9	8	9	9	12	10	12	10	10	11	11	11	10	10	11	11	10	11	9	11	12	11	12	12	12	12	11	13	13	14	14	13	10	13	13	14	14	13	15	15	16	16	16	16	17	19	16	18	19	20	19	17	18	19	20	21	19	21	21	20	22	22	20	23	21	22	22	25	23	22	24	0	1	1	3	1	2	3	3	3	4	6	8	10	4	4	7	8	10	11	12	12	13	14	14	16	18	11	20	15	15	15	27	12	18	20	4	23	24	25	27	31	31	29	30	31	32	32	37	20	37	38	38	25	41	62	42	31	47	36	41	78	42	45	47	48	49	48	55	58	59	78	45	78	63	37	50	69	42	72	60	60	78	72	79	73	79	61	83	74	79	85	85	85	79	87	74	85	97	93	94	102	87	98	85	93	87	100	98	96	91	100	95	107	107	110	114	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1	2	1	2	2	1	1	2	1	1	1	1	1	2	1	1	1	2	1	1	1	1	3	1	1	1	1	2	2	2	1	1	1	1	3	1	1	2	2	1	2	3	2	3	1	1	1	1	1	2	2	3	1	3	1	1	2	1	1	2	2	1	1	1
78000	-737.316122060091629	-743.255319279176888	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.735721521152070	-1	0	1	2	3	3	3	4	4	5	2	3	3	4	4	5	7	6	6	5	5	6	6	8	6	5	5	6	8	6	6	7	9	7	8	8	8	8	7	8	9	7	10	8	8	7	8	9	10	12	10	13	9	10	11	11	11	11	11	11	12	10	10	9	9	13	11	9	12	12	13	12	14	13	13	13	13	12	12	13	12	15	14	15	15	16	15	15	16	18	17	17	17	18	18	18	18	19	18	19	22	19	19	21	21	21	21	20	23	21	22	23	26	23	22	25	0	1	1	3	1	2	3	12	3	13	2	3	4	13	4	7	8	26	11	8	8	13	14	23	16	13	11	8	15	15	15	27	7	26	21	22	23	14	25	27	31	31	29	30	42	27	32	37	28	37	38	24	39	31	68	42	31	47	36	41	55	42	45	32	23	49	48	31	58	59	78	63	78	57	65	67	69	57	57	60	60	71	72	79	78	57	78	83	63	83	85	85	85	86	87	89	85	85	93	94	106	87	85	91	99	102	100	97	96	98	100	95	107	107	97	114	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	1	2	1	3	1	2	1	1	2	1	2	2	1	1	1	1	1	1	1	2	2	1	2	1	3	1	2	3	1	2	1	1	1	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	4	2	1	1	1	1	1	1	2	2	1	1	1	2	2	1	1	2	2	1	3	2	2	3	2	1	2	1
78500	-678.203900210388156	-684.143097429473414	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.747243470978269	-1	0	0	2	4	2	2	3	4	4	4	5	3	4	5	4	5	5	6	5	7	5	6	7	6	6	6	6	8	7	7	7	8	7	7	8	7	9	7	8	9	8	10	9	9	8	8	9	10	11	10	13	11	11	11	10	11	11	10	11	11	10	11	9	8	12	11	12	10	12	12	13	13	13	14	13	13	13	14	13	13	14	14	16	15	17	15	17	16	18	18	16	16	18	19	18	17	18	17	19	20	19	19	21	20	22	21	21	23	21	23	21	26	23	23	25	0	1	1	3	1	2	3	3	3	13	2	8	4	13	4	7	8	10	11	8	12	10	14	14	16	18	11	20	15	15	15	11	8	18	20	22	23	24	16	11	31	31	29	30	31	32	32	65	33	37	38	38	39	41	42	42	45	47	36	41	42	42	45	32	37	35	48	62	47	59	61	57	71	63	48	67	69	61	72	60	60	71	72	72	73	84	62	83	74	83	97	85	73	86	87	89	85	85	93	94	102	87	97	103	99	101	100	103	96	98	100	95	107	107	98	114	1	1	1	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	2	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	2	1	1	2	1	1	2	1	1	1	1	3	1	1	2	1	1	1	2	1	1	2	1	1	1	2	2	2	1	2	1	2	1
79000	-693.271606941741425	-699.210804160826683	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.765575623645798	-1	1	0	1	3	3	1	2	3	4	4	4	2	4	5	5	6	4	6	5	6	6	6	7	4	6	5	7	7	7	6	7	8	7	7	7	7	9	7	8	8	8	10	9	8	8	9	9	10	11	9	11	10	10	11	11	11	11	11	12	11	11	10	10	8	12	11	12	10	13	12	11	13	14	13	12	11	14	14	14	13	13	14	15	15	16	16	15	16	17	19	16	17	18	20	19	19	18	18	20	21	18	20	21	21	22	21	20	22	21	22	23	23	23	22	25	0	1	1	3	1	2	3	3	3	13	2	8	4	13	4	7	8	13	11	12	20	13	14	14	7	18	11	20	15	15	15	27	17	18	20	22	23	24	16	27	31	31	29	30	31	32	32	65	35	37	24	38	25	41	42	42	45	69	36	41	42	42	45	47	37	49	48	55	47	59	42	63	55	63	65	48	69	61	72	60	60	56	72	79	71	79	71	83	74	83	98	85	85	86	87	74	98	85	93	94	102	82	98	98	99	102	100	98	96	103	94	102	107	107	110	114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	1	1	1	1	2	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	1	1	2	1	1	1	2	2	2	2	1	1	2	2	1	2	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1	2	1	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	2	1	1	1	1	2	3	1	1	2	2	1	1	2	1	3	2	1	1	1	1
79500	-746.664061429861590	-752.603258648946849	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.680177088911831	-1	1	1	2	2	3	2	4	4	4	4	5	3	4	4	5	7	5	7	5	6	6	6	7	5	6	6	6	7	7	5	7	9	8	7	7	7	8	8	8	9	8	9	8	8	10	8	9	9	12	9	12	10	10	10	9	10	10	10	11	12	10	10	10	8	11	10	12	9	12	12	12	14	13	13	12	14	13	14	13	14	15	14	16	15	16	14	16	16	17	17	17	17	18	20	20	19	18	18	19	19	16	20	21	21	20	21	20	24	22	21	23	25	23	21	25	0	1	1	3	1	2	3	3	3	13	2	8	4	13	4	7	16	13	11	3	3	13	14	14	3	18	11	20	15	15	15	27	8	18	20	22	23	24	21	27	31	31	29	30	31	32	32	65	35	37	38	24	21	41	42	42	31	69	36	41	62	42	45	47	37	49	48	55	47	59	42	57	61	63	65	48	69	61	72	60	60	78	72	79	71	79	71	83	74	83	85	85	85	86	87	89	91	91	85	94	102	71	98	108	99	87	100	91	96	115	94	106	107	107	98	114	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	2	1	1	3	4	1	2	1	3	1	1	1	2	2	1	1	3	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	3	2	1	1	1	3	1	2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	3	2	2	1	1	1	2	2	2	1	3	1	1	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	4	1	2	2	1	1	1	2	1	2	1
80000	-741.142152865573848	-747.081350084659107	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.725351932639987	-1	0	1	3	3	2	2	4	2	3	3	3	2	4	4	5	4	5	5	6	6	6	8	7	5	4	5	6	7	7	7	6	6	8	8	8	9	8	7	7	8	8	10	9	10	10	8	9	10	12	10	10	10	11	12	10	11	11	11	11	11	11	9	10	10	12	11	13	12	12	13	11	14	13	12	13	13	14	13	13	13	14	14	16	15	16	16	16	15	18	17	17	19	18	19	19	19	18	18	20	21	18	20	20	21	22	21	20	23	22	23	22	25	23	21	24	0	1	1	13	6	2	3	7	3	13	2	3	3	13	4	7	3	26	11	8	8	10	22	14	7	10	11	8	15	4	15	11	8	18	20	22	23	24	25	27	31	31	29	30	31	32	32	23	8	37	24	38	39	41	42	42	45	47	36	41	42	42	31	47	48	49	65	62	58	59	61	63	61	63	37	65	69	61	72	60	60	55	72	79	71	79	71	83	74	88	71	85	99	86	78	74	98	85	78	94	87	71	97	98	93	102	100	98	96	115	100	95	107	107	98	114	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	3	2	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	2	2	2	1	2	2	1	2	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1
80500	-724.731549196609649	-730.670746415694907	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.768856047953429	-1	0	1	2	3	3	0	5	4	5	2	4	3	4	5	4	6	5	6	3	6	6	6	6	5	6	5	5	7	7	7	6	9	7	7	8	8	7	7	7	8	8	9	9	10	9	8	8	11	11	9	12	10	9	11	11	11	10	10	11	11	9	10	9	9	12	10	12	11	12	12	12	14	14	13	13	12	13	13	12	13	14	14	15	15	15	15	16	15	18	18	16	18	18	18	19	19	18	18	20	21	18	18	19	21	21	21	20	22	21	22	21	25	24	20	25	0	1	7	3	1	2	1	12	3	13	2	3	4	13	4	7	8	13	11	3	12	13	14	14	16	18	11	20	10	15	15	27	35	26	28	13	23	24	25	19	31	31	29	30	31	40	32	23	35	65	24	38	25	41	62	42	63	47	36	41	42	42	31	40	48	35	48	55	46	59	62	63	71	63	65	67	69	55	63	60	60	71	72	79	73	79	78	63	74	88	85	78	85	86	78	74	98	92	92	94	102	87	92	98	93	102	100	98	96	115	100	95	107	100	104	114	1	1	1	1	2	1	1	1	1	2	1	1	1	1	2	2	1	1	2	1	1	1	2	1	1	1	2	2	2	1	1	1	1	1	2	3	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	1	2	2	1	1	1	2	2	1	2	1	1	2	1	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	3	1	1	1	2	2	2	2	3	1	1	1	2	2	1	1	1	2	2	1	1	2	1	1	1	3	2	1	1
81000	-703.960944965388421	-709.900142184473680	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.709336225103508	0	1	1	2	2	3	2	5	4	5	2	3	4	3	5	4	6	6	5	5	5	6	7	7	6	7	7	6	7	6	7	6	7	8	8	8	8	8	8	9	8	8	9	8	9	9	9	9	10	11	10	12	11	11	11	10	12	11	11	11	11	11	10	10	10	11	11	12	12	12	12	12	14	14	14	13	13	13	14	13	14	15	15	14	15	16	15	16	16	18	19	16	17	18	19	19	18	17	17	20	22	19	20	21	21	21	21	20	23	21	22	22	25	23	23	24	0	1	1	3	1	2	3	12	3	13	2	4	4	4	4	7	12	15	11	12	12	10	15	14	7	18	19	20	15	15	15	19	15	18	20	22	23	24	16	27	31	31	29	30	31	32	32	37	28	37	38	24	25	41	42	42	45	32	36	41	42	42	31	47	48	49	65	62	47	36	42	63	62	63	65	67	69	71	72	60	60	62	72	72	71	79	78	72	74	83	98	85	85	79	87	89	85	85	85	94	95	82	97	97	99	102	94	98	96	97	100	106	107	107	110	114	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	1	2	1	2	2	2	1	1	1	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	2	3	1	1	1	2	2	2	1	2	1	1	1	1	1	1	1	2	2	2	2	2	1	2	1	1	1	2	1	1	2	1	1	2	1	1	2	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	2	2	1	2	1	3	2	1	1	2	1	1	1
81500	-739.301132345767428	-745.240329564852686	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.714368117094786	-2	0	0	2	0	1	2	3	3	3	4	5	4	4	5	4	6	4	6	5	6	6	6	6	5	6	6	7	7	7	6	7	8	7	8	8	8	8	7	6	8	8	9	9	8	9	8	9	10	10	10	12	10	10	10	10	10	10	11	11	10	11	9	9	10	12	11	11	11	12	13	12	12	13	14	13	13	14	14	12	14	14	14	16	15	17	16	15	16	16	17	17	17	18	19	19	19	17	18	20	18	19	19	21	19	21	21	20	22	21	22	23	25	23	22	25	0	1	1	3	1	2	3	3	3	4	2	9	10	10	4	7	8	10	11	8	12	4	13	14	3	18	11	20	13	15	15	11	12	26	20	22	23	22	16	11	31	31	29	30	31	32	32	23	35	37	38	24	25	41	42	42	45	47	36	41	42	55	31	47	37	20	48	42	32	36	61	45	61	63	48	67	58	61	72	60	80	71	72	79	73	79	82	83	74	72	85	85	85	86	87	74	98	85	93	94	87	82	91	103	99	87	100	98	96	103	100	87	107	107	110	114	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	2	1	2	1	1	2	1	1	1	1	2	1	2	1	1	2	1	1	1	1	1	1	2	1	1	2	1	1	1	2	1	2	1	2	1	3	2	1	1	1	1	1	2	1	1	1	1	1	1	3	1	2	2	2	2	2	1	1	1	1	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	3	2	1	1	2	1	2	1	1	1	4	2	1	1	1
82000	-736.245569174585967	-742.184766393671225	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.758748646756558	0	1	1	2	2	3	2	3	3	5	3	4	3	3	4	4	6	5	7	6	6	6	8	6	5	7	5	6	7	7	6	5	8	8	7	8	6	8	7	9	9	8	9	9	9	8	8	8	10	11	10	12	9	11	10	9	10	11	12	11	10	11	11	11	10	12	12	12	12	12	12	13	13	14	12	13	13	13	13	13	13	14	15	14	15	16	17	16	16	18	19	17	17	17	19	19	18	19	19	19	21	20	20	21	20	21	22	20	23	19	21	23	26	24	22	25	0	1	1	3	2	2	3	3	3	13	2	3	4	4	4	7	3	12	11	8	8	15	37	14	12	18	11	12	15	15	15	11	17	26	21	22	14	24	25	19	31	31	29	30	42	32	32	37	17	48	38	38	25	41	56	42	31	47	36	41	42	42	45	46	48	35	48	55	64	36	61	45	62	72	65	67	69	61	63	60	41	55	79	72	73	72	71	83	74	88	85	85	85	86	87	74	85	85	93	94	95	95	97	98	99	95	100	97	96	97	100	106	107	107	110	114	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	3	1	2	2	2	1	1	1	1	1	2	1	2	1	2	1	1	1	1	2	2	1	1	1	2	2	1	1	1	2	2	1	2	1	1	2	2	1	1	1	2	1	2	1	1	2	1	2	2	2	2	2	1	2	1	2	2	1	1	1	1	2	1	1	2	2	1	1	1	2	2	1	1	1	2	1	1	1	1	2	2	2	1	1	1	1	2	2	1	1	1	1	2	1	1	1	2	1	1	1
82500	-710.564442515740552	-716.503639734825811	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.801208274063010	-1	1	1	2	3	4	2	3	3	3	3	4	4	4	4	5	7	5	5	5	3	6	7	6	6	7	6	7	8	5	6	7	8	8	6	8	9	8	8	9	8	9	9	8	9	9	8	8	10	11	9	11	8	10	12	11	11	11	12	11	10	10	10	10	10	12	9	13	11	12	13	12	13	13	13	13	14	14	13	13	14	15	14	15	15	16	16	16	17	16	19	17	17	18	19	19	17	18	18	20	22	20	19	21	20	22	22	20	23	20	22	23	25	24	22	25	0	1	1	3	1	2	3	3	3	4	2	21	10	10	4	7	8	10	11	12	3	10	14	14	16	18	19	20	15	15	15	19	17	26	20	22	48	24	25	27	31	31	29	30	31	32	32	22	20	37	38	38	25	41	45	42	42	47	36	41	42	15	31	47	48	49	48	62	64	36	61	63	61	63	48	67	69	61	63	60	41	71	63	79	73	79	78	83	74	83	98	85	85	86	82	74	85	97	93	94	102	82	98	98	99	95	100	98	96	98	100	106	107	107	110	114	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	2	1	1	1	3	1	1	1	1	1	2	1	2	1	2	1	1	2	2	2	1	2	1	1	1	2	2	1	1	1	1	2	2	2	1	1	3	1	2	2	1	1	1	1	2	1	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	2	1	1	2	1	1	1	2	1	1	1
83000	-712.424661080069882	-718.363858299155140	5.939197219085218	0.000200000000000	0.000050000000000	0.250000000000000	0.731582736484632	-1	0	0	2	3	3	2	3	3	3	3	4	4	4	5	5	5	5	7	5	7	6	6	7	5	6	6	7	8	7	6	6	8	8	6	7	9	9	8	7	8	7	9	8	9	10	9	8	11	10	8	11	10	11	12	11	11	11	11	11	11	10	10	10	10	12	11	13	12	13	13	11	13	12	14	13	13	14	13	14	13	15	14	16	15	16	17	17	17	17	18	17	17	19	17	19	19	17	18	19	21	18	20	20	20	21	21	19	23	20	21	22	24	23	23	25	0	1	1	3	1	2	3	3	3	4	2	3	10	10	4	7	8	10	11	12	8	13	14	14	6	18	11	20	15	15	15	11	12	26	20	22	23	51	16	11	31	31	29	30	31	27	27	23	35	48	24	38	25	41	42	62	31	64	36	41	62	42	45	32	48	49	48	55	58	59	61	45	61	63	65	67	69	61	72	41	60	78	72	79	73	79	78	83	74	83	98	85	85	86	78	89	91	85	93	86	87	95	98	91	99	95	100	91	96	108	100	106	107	107	110	114	1	1	1	1	1	2	1	1	2	1	2	2	1	1	1	1	1	1	2	1	1	2	1	2	1	1	2	2	2	1	1	1	1	1	1	1	2	1	2	2	1	1	1	1	2	1	2	1	2	1	1	1	2	1	2	1	3	1	2	1	1	1	1	2	1	1	2	1	1	1	2	1	1	2	2	1	1	2	1	4	1	1	1	2	2	2	2	1	3	2	1	1	1	2	2	1	1	1	1	1	2	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1
